Order_ID,Order_Date,Customer,Region,Product,Sales,Cost
2127,2026-01-19,Rohit,East,Tablet,60242,44988
2128,2026-01-20,Pooja,West,Laptop,28932,21495
2129,2026-01-05,Priya,West,Monitor,35839,24581
2130,2026-01-22,Pooja,West,Mobile,78799,47887
2131,2026-01-06,Neha,East,Monitor,18939,12230
2132,2026-01-24,Rohit,South,Laptop,61104,40625
2133,2026-02-17,Suresh,South,Printer,42420,27634
2134,2026-01-04,Pooja,East,Monitor,54204,31859
2135,2026-02-02,Suresh,South,Laptop,42523,34827
2136,2026-01-25,Vikas,West,Printer,47896,38537
2137,2026-02-25,Rahul,South,Laptop,62731,47854
2138,2026-02-27,Pooja,West,Laptop,16586,11070
2139,2026-03-01,Suresh,West,Printer,39566,31056
2140,2026-01-15,Neha,South,Monitor,21272,17707
2141,2026-02-16,Pooja,North,Monitor,12183,6705
2142,2026-01-09,Priya,North,Tablet,23772,17542
2143,2026-02-03,Vikas,North,Laptop,16221,10383
2144,2026-03-02,Kiran,South,Printer,41194,25419
2145,2026-02-08,Rahul,North,Monitor,46520,39491
2146,2026-01-18,Anjali,South,Printer,75980,47140
2147,2026-01-16,Rahul,West,Tablet,14249,7930
2148,2026-02-01,Vikas,North,Tablet,36863,27654
2149,2026-03-01,Anjali,South,Printer,11469,8702
2150,2026-02-15,Vikas,East,Printer,32962,18195
2151,2026-01-19,Suresh,North,Mobile,71971,60524
2152,2026-01-20,Priya,South,Printer,36024,22677
2153,2026-02-26,Rohit,North,Monitor,71980,52763
2154,2026-02-27,Priya,West,Printer,14394,12013
2155,2026-01-10,Vikas,North,Mobile,10097,8504
2156,2026-01-10,Vikas,North,Laptop,31130,20794
2157,2026-02-27,Anjali,North,Laptop,28709,18625
2158,2026-01-12,Suresh,West,Laptop,47871,35871
2159,2026-01-25,Anjali,East,Printer,29185,17005
2160,2026-01-06,Rohit,North,Tablet,62074,51934
2161,2026-01-08,Suresh,South,Printer,53744,41953
2162,2026-01-20,Vikas,North,Laptop,69057,42036
2163,2026-02-04,Pooja,South,Tablet,54742,42216
2164,2026-01-31,Rahul,West,Mobile,88973,69398
2165,2026-01-03,Vikas,North,Printer,15202,12024
2166,2026-01-04,Rohit,South,Laptop,86379,56294
2167,2026-01-18,Anjali,North,Tablet,48482,40107
2168,2026-01-20,Rahul,North,Laptop,37653,21920
2169,2026-02-15,Pooja,West,Tablet,63352,50329
2170,2026-01-09,Pooja,South,Laptop,46756,37256
2171,2026-02-19,Neha,South,Tablet,48883,33642
2172,2026-02-20,Kiran,North,Monitor,32862,21935
2173,2026-01-11,Priya,West,Laptop,11438,7943
2174,2026-02-04,Anjali,South,Printer,20791,17596
2175,2026-01-17,Kiran,North,Mobile,19638,13281
2176,2026-02-15,Pooja,South,Mobile,24423,16486
2177,2026-02-09,Priya,North,Tablet,45506,28842
2178,2026-01-18,Anjali,East,Tablet,33108,22573
2179,2026-01-12,Priya,South,Mobile,43877,35770
2180,2026-02-07,Priya,East,Laptop,58913,36849
2181,2026-01-16,Suresh,South,Laptop,67806,57451
2182,2026-01-07,Rahul,West,Mobile,65759,54205
2183,2026-01-03,Rohit,South,Laptop,13604,8255
2184,2026-02-22,Kiran,South,Laptop,55789,39264
2185,2026-01-12,Pooja,East,Laptop,20864,15465
2186,2026-02-15,Kiran,East,Mobile,11909,7867
2187,2026-01-10,Rahul,South,Tablet,12011,8765
2188,2026-02-11,Priya,North,Tablet,60607,45667
2189,2026-01-12,Kiran,East,Laptop,33661,18831
2190,2026-02-01,Suresh,West,Laptop,60499,35114
2191,2026-01-26,Suresh,South,Monitor,18947,14132
2192,2026-01-26,Rohit,West,Tablet,47317,31955
2193,2026-01-04,Rohit,East,Printer,61584,34207
2194,2026-02-19,Anjali,South,Printer,60080,36714
2195,2026-01-01,Vikas,South,Printer,21881,17419
2196,2026-01-26,Kiran,East,Printer,28305,16671
2197,2026-01-04,Suresh,South,Printer,18669,13476
2198,2026-03-01,Anjali,South,Mobile,52605,33403
2199,2026-02-03,Neha,North,Laptop,57296,39944
2200,2026-02-21,Priya,East,Mobile,12701,10702
